1. What are you looking for?,005e7f99-d48c-4fce-b605-10506c85aaf7,Women's Styles
2. What's your fit?,005e7f99-d48c-4fce-b605-10506c85aaf7,Medium
3. How old are you?,00a556ed-f13e-4c67-8704-27e3573684cd,Round
4. Which colors do you like?,00a556ed-f13e-4c67-8704-27e3573684cd,Two-Tone
1. What are you looking for?,00a556ed-f13e-4c67-8704-27e3573684cd,I'm not sure. Let's skip it.
2. What's your fit?,00a556ed-f13e-4c67-8704-27e3573684cd,Narrow
5. When was your last eye exam?,00a556ed-f13e-4c67-8704-27e3573684cd,<1 Year
3. How old are you?,00bf9d63-0999-43a3-9e5b-9c372e6890d2,Square
5. When was your last eye exam?,00bf9d63-0999-43a3-9e5b-9c372e6890d2,<1 Year
2. What's your fit?,00bf9d63-0999-43a3-9e5b-9c372e6890d2,Medium
4. Which colors do you like?,00bf9d63-0999-43a3-9e5b-9c372e6890d2,Tortoise
1. What are you looking for?,00bf9d63-0999-43a3-9e5b-9c372e6890d2,Women's Styles
2. What's your fit?,010ea320-4e00-4604-bfda-afc767d48802,Wide
1. What are you looking for?,010ea320-4e00-4604-bfda-afc767d48802,Women's Styles
1. What are you looking for?,01938302-8a80-4b53-9cb1-515ff817fb72,Men's Styles
3. How old are you?,030bedda-c741-43d2-aa2e-d5bc1ca9504b,Round
5. When was your last eye exam?,030bedda-c741-43d2-aa2e-d5bc1ca9504b,1-3 Years
2. What's your fit?,030bedda-c741-43d2-aa2e-d5bc1ca9504b,Wide
1. What are you looking for?,030bedda-c741-43d2-aa2e-d5bc1ca9504b,Women's Styles
4. Which colors do you like?,030bedda-c741-43d2-aa2e-d5bc1ca9504b,Two-Tone
4. Which colors do you like?,03268db7-636a-42f2-8f81-4468aa02562e,Tortoise
1. What are you looking for?,03268db7-636a-42f2-8f81-4468aa02562e,Men's Styles
2. What's your fit?,03268db7-636a-42f2-8f81-4468aa02562e,Wide
3. How old are you?,03268db7-636a-42f2-8f81-4468aa02562e,Square
5. When was your last eye exam?,03268db7-636a-42f2-8f81-4468aa02562e,<1 Year
3. How old are you?,03287d06-7cf1-4a8e-96cd-6c362563ea58,Rectangular
5. When was your last eye exam?,03287d06-7cf1-4a8e-96cd-6c362563ea58,Not Sure. Let's Skip It
1. What are you looking for?,03287d06-7cf1-4a8e-96cd-6c362563ea58,Women's Styles
4. Which colors do you like?,03287d06-7cf1-4a8e-96cd-6c362563ea58,Tortoise
2. What's your fit?,03287d06-7cf1-4a8e-96cd-6c362563ea58,Narrow
3. How old are you?,045aaeca-27b6-491e-8ba5-e298e8b5b1f8,Round
2. What's your fit?,045aaeca-27b6-491e-8ba5-e298e8b5b1f8,I'm not sure. Let's skip it.
1. What are you looking for?,045aaeca-27b6-491e-8ba5-e298e8b5b1f8,Men's Styles
4. Which colors do you like?,045aaeca-27b6-491e-8ba5-e298e8b5b1f8,Crystal
5. When was your last eye exam?,045aaeca-27b6-491e-8ba5-e298e8b5b1f8,<1 Year
2. What's your fit?,0513db21-736b-4cd5-95ee-89122b335bf5,Medium
